workers,batch_size,read_workers,tokenize_workers,write_workers,uptime_secs,overall_tokens_per_sec,overall_records_per_sec,overall_read_mb_per_sec,overall_convert_mb_per_sec,interval_tokens_per_sec,interval_records_per_sec,interval_read_mb_per_sec,interval_convert_mb_per_sec,tokens_total,records_total
128,2048,4,122,2,230,133049149,105096,320.37,507.54,100318234,69612,176.73,382.68,30601304162,24172105
128,2048,4,121,3,214,142996748,112954,344.33,545.49,148992212,111356,324.05,568.36,30601304162,24172105
128,2048,4,120,4,221,138467440,109376,333.42,528.21,124082144,83827,206.17,473.34,30601304162,24172105
128,2048,5,121,2,220,139096837,109873,334.93,530.61,125184471,82969,146.91,477.54,30601304162,24172105
128,2048,5,120,3,217,141019835,111392,339.57,537.95,151560901,119396,411.89,578.16,30601304162,24172105
128,2048,5,119,4,219,139731982,110375,336.46,533.04,150009977,118371,412.14,572.24,30601304162,24172105
128,2048,6,120,2,215,142331647,112428,342.72,542.95,150784360,118686,323.69,575.20,30601304162,24172105
128,2048,6,119,3,219,139731982,110375,336.46,533.04,149738004,118529,353.83,571.21,30601304162,24172105
128,2048,6,118,4,222,137843712,108883,331.92,525.83,150811480,110288,235.99,575.30,30601304162,24172105
128,2048,7,119,2,220,139096837,109873,334.93,530.61,151180144,108330,236.10,576.71,30601304162,24172105
128,2048,7,118,3,220,139096837,109873,334.93,530.61,146617334,100056,176.81,559.30,30601304162,24172105
128,2048,7,117,4,220,139096837,109873,334.93,530.61,138584010,93542,206.54,528.66,30601304162,24172105
128,2048,8,118,2,220,139096837,109873,334.93,530.61,135596770,91123,206.21,517.26,30601304162,24172105
128,2048,8,117,3,220,139096837,109873,334.93,530.61,140873065,94810,206.21,537.39,30601304162,24172105
128,2048,8,116,4,221,138467440,109376,333.42,528.21,150677793,105708,235.88,574.79,30601304162,24172105
128,4096,4,122,2,215,142331647,112428,342.72,542.95,146417861,113978,324.29,558.54,30601304162,24172105
128,4096,4,121,3,220,139096837,109873,334.93,530.61,110757343,73342,176.77,422.51,30601304162,24172105
128,4096,4,120,4,219,139731982,110375,336.46,533.04,147798962,117505,353.79,563.81,30601304162,24172105
128,4096,5,121,2,224,136612965,107911,328.95,521.14,116571231,84815,205.81,444.68,30601304162,24172105
128,4096,5,120,3,223,137225579,108395,330.43,523.47,111937652,76372,175.87,427.01,30601304162,24172105
128,4096,5,119,4,217,141019835,111392,339.57,537.95,150287366,118987,382.69,573.30,30601304162,24172105
128,4096,6,120,2,220,139096837,109873,334.93,530.61,124971914,82603,176.87,476.73,30601304162,24172105
128,4096,6,119,3,221,138467440,109376,333.42,528.21,139712572,98073,236.18,532.96,30601304162,24172105
128,4096,6,118,4,223,137225579,108395,330.43,523.47,148584841,116023,294.85,566.81,30601304162,24172105
128,4096,7,119,2,223,137225579,108395,330.43,523.47,150133226,118076,324.58,572.71,30601304162,24172105
128,4096,7,118,3,223,137225579,108395,330.43,523.47,147503362,115617,354.14,562.68,30601304162,24172105
128,4096,7,117,4,221,138467440,109376,333.42,528.21,149628132,106942,236.04,570.79,30601304162,24172105
128,4096,8,118,2,223,137225579,108395,330.43,523.47,148863659,115611,235.70,567.87,30601304162,24172105
128,4096,8,117,3,223,137225579,108395,330.43,523.47,146943611,116183,295.10,560.55,30601304162,24172105
128,4096,8,116,4,222,137843712,108883,331.92,525.83,146689711,116347,235.69,559.58,30601304162,24172105
128,8192,4,122,2,217,141019835,111392,339.57,537.95,148846634,115048,353.91,567.80,30601304162,24172105
128,8192,4,121,3,220,139096837,109873,334.93,530.61,114428804,77678,206.08,436.51,30601304162,24172105
128,8192,4,120,4,220,139096837,109873,334.93,530.61,125627249,84891,235.69,479.23,30601304162,24172105
128,8192,5,121,2,219,139731982,110375,336.46,533.04,150658389,119965,382.68,574.72,30601304162,24172105
128,8192,5,120,3,217,141019835,111392,339.57,537.95,149230743,117829,323.96,569.27,30601304162,24172105
128,8192,5,119,4,220,139096837,109873,334.93,530.61,144272279,97027,235.37,550.36,30601304162,24172105
128,8192,6,120,2,222,137843712,108883,331.92,525.83,149969839,113727,235.72,572.09,30601304162,24172105
128,8192,6,119,3,221,138467440,109376,333.42,528.21,144998709,100298,235.39,553.13,30601304162,24172105
128,8192,6,118,4,216,141672704,111908,341.14,540.44,149301232,117501,324.18,569.54,30601304162,24172105
128,8192,7,119,2,221,138467440,109376,333.42,528.21,149919516,105876,235.95,571.90,30601304162,24172105
128,8192,7,118,3,223,137225579,108395,330.43,523.47,147154465,114229,324.38,561.35,30601304162,24172105
128,8192,7,117,4,219,139731982,110375,336.46,533.04,146445892,116188,353.98,558.65,30601304162,24172105
128,8192,8,118,2,222,137843712,108883,331.92,525.83,147398344,116351,294.90,562.28,30601304162,24172105
128,8192,8,117,3,224,136612965,107911,328.95,521.14,147524349,115863,324.15,562.76,30601304162,24172105
128,8192,8,116,4,224,136612965,107911,328.95,521.14,147490944,115365,324.39,562.63,30601304162,24172105
128,16384,4,122,2,217,141019835,111392,339.57,537.95,147329913,116028,324.57,562.02,30601304162,24172105
128,16384,4,121,3,220,139096837,109873,334.93,530.61,104400090,68837,176.67,398.25,30601304162,24172105
128,16384,4,120,4,218,140372955,110881,338.01,535.48,147290447,116027,353.49,561.87,30601304162,24172105
128,16384,5,121,2,216,141672704,111908,341.14,540.44,149132894,119628,294.30,568.90,30601304162,24172105
128,16384,5,120,3,214,142996748,112954,344.33,545.49,150488446,117504,353.12,574.07,30601304162,24172105
128,16384,5,119,4,215,142331647,112428,342.72,542.95,149402243,118988,441.47,569.92,30601304162,24172105
128,16384,6,120,2,220,139096837,109873,334.93,530.61,138738924,93244,205.85,529.25,30601304162,24172105
128,16384,6,119,3,221,138467440,109376,333.42,528.21,144114063,94722,176.50,549.75,30601304162,24172105
128,16384,6,118,4,222,137843712,108883,331.92,525.83,150160890,109138,265.13,572.82,30601304162,24172105
128,16384,7,119,2,224,136612965,107911,328.95,521.14,150199372,112593,295.18,572.97,30601304162,24172105
128,16384,7,118,3,222,137843712,108883,331.92,525.83,147731254,115703,324.58,563.55,30601304162,24172105
128,16384,7,117,4,223,137225579,108395,330.43,523.47,147393892,117506,324.58,562.26,30601304162,24172105
128,16384,8,118,2,224,136612965,107911,328.95,521.14,148233269,116351,353.88,565.47,30601304162,24172105
128,16384,8,117,3,225,136005796,107432,327.49,518.82,148015501,115701,412.90,564.63,30601304162,24172105
128,16384,8,116,4,225,136005796,107432,327.49,518.82,147180687,116188,383.41,561.45,30601304162,24172105
